id,brand,model,date,year,display_size_inches,internal_memory_in_gb,primary_camera_mega_pixel,primary_camera,loud_speaker,gps,colors,approx_price_eur,announced,battery_mah,ram_in_gb
Acer Iconia Talk S,Acer,Iconia Talk S,2016-10-01,2016.0,7.0,32.0,13.0,13 MP| autofocus,Yes,Yes with A-GPS GLONASS,Black,170.0,2016  August,3400.0,2.0
Acer Liquid Z6 Plus,Acer,Liquid Z6 Plus,2016-12-01,2016.0,5.5,32.0,13.0,13 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,250.0,2016  August,4080.0,3.0
Acer Liquid Z6,Acer,Liquid Z6,2016-12-01,2016.0,5.0,8.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,120.0,2016  August,2000.0,1.0
Acer Liquid X2,Acer,Liquid X2,2016-02-01,2016.0,5.5,32.0,13.0,13 MP| f/1.8| autofocus| LED flash| ,Yes,Yes with A-GPS,Black| Gold,230.0,2015  April,4020.0,3.0
Acer Liquid Jade 2,Acer,Liquid Jade 2,2016-02-01,2016.0,5.5,32.0,21.0,21 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Black,,2016  February,,3.0
Acer Liquid Zest Plus,Acer,Liquid Zest Plus,2016-07-01,2016.0,5.5,16.0,13.0,13 MP| phase detection/laser autofocus| LED flash,Yes,Yes with A-GPS,Blue| White,200.0,2016  April,5000.0,2.0
Acer Liquid Zest,Acer,Liquid Zest,2016-04-01,2016.0,5.0,8.0,8.0,8 MP| f/2.0| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,110.0,2016  February,2000.0,1.0
Acer Liquid Jade Primo,Acer,Liquid Jade Primo,2016-04-01,2016.0,5.5,32.0,21.0,21 MP| f/2.2| autofocus| dual-LED flash| ,Yes,Yes with A-GPS,Black,220.0,2015  September,2870.0,3.0
Acer Liquid Z330,Acer,Liquid Z330,2015-10-01,2015.0,4.5,8.0,5.0,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Mystic Black| Pure White,110.0,2015  September,2000.0,1.0
Acer Liquid Z320,Acer,Liquid Z320,2015-11-01,2015.0,4.5,8.0,5.0,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Pure White,90.0,2015  September,2000.0,1.0
Acer Liquid Z630S,Acer,Liquid Z630S,2015-09-01,2015.0,5.5,32.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| Gold,,2015  September,4000.0,3.0
Acer Liquid Z630,Acer,Liquid Z630,2015-09-01,2015.0,5.5,8.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black,200.0,2015  September,4000.0,1.0
