id,brand,model,date,year,display_size_inches,internal_memory_in_gb,primary_camera_mega_pixel,primary_camera,loud_speaker,gps,colors,approx_price_eur,battery_mah,ram_in_gb,weight,weight_g,weight_oz
Benefon Vega,Benefon,Vega,1999-01-01,1999.0,,,,,No,No,V1,,,,190 g (6.70 oz),190.0,6.7
Garmin-Asus nuvifone M10,Garmin-Asus,nuvifone M10,2010-03-01,2010.0,3.5,4.0,5.0,,Yes,"Yes, with A-GPS","Black, White",310.0,1500.0,0.4980544747081712,-,,
Gigabyte GSmart G1305 Boston,Gigabyte,GSmart G1305 Boston,2010-04-01,2010.0,3.2,0.2490272373540856,5.0,LED flash,Yes,"Yes, with A-GPS","Black, White",110.0,1230.0,0.2490272373540856,118 g (4.16 oz),118.0,4.16
Gigabyte GSmart,Gigabyte,GSmart,,,2.8,0.2490272373540856,2.0,,Yes,"Yes, with A-GPS",Black,,1500.0,0.2490272373540856,-,,
Google Pixel 4 XL,Google,Pixel 4 XL,2019-10-01,2019.0,6.3,64.0,2.0,"Dual-LED flash, Auto-HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, BDS, GALILEO","Clearly White, Just Black, Oh So Orange",599.0,3700.0,6.0,193 g (6.81 oz),193.0,6.81
Google Pixel 4,Google,Pixel 4,2019-10-01,2019.0,5.7,64.0,2.0,"Dual-LED flash, Auto-HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, BDS, GALILEO","Clearly White, Just Black, Oh So Orange",524.52,2800.0,6.0,162 g (5.71 oz),162.0,5.71
Google Pixel 3a XL,Google,Pixel 3a XL,2019-05-01,2019.0,6.0,64.0,2.0,"Dual-LED flash, HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, GALILEO","Just Black, Clearly White, Purple-ish",329.0,3700.0,4.0,167 g (5.89 oz),167.0,5.89
Google Pixel 3a,Google,Pixel 3a,2019-05-01,2019.0,5.6,64.0,2.0,"Dual-LED flash, HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, GALILEO","Just Black, Clearly White, Purple-ish",304.0,3000.0,4.0,147 g (5.19 oz),147.0,5.19
Haier N60,Haier,N60,2005-01-01,2005.0,,0.058365758754863814,3.0,,Yes,No,V1,,900.0,,131 g (4.62 oz),131.0,4.62
Haier T3000,Haier,T3000,2005-01-01,2005.0,,0.0038910505836575876,,,No,No,V1,,600.0,,85 g (3.00 oz),85.0,3.0
Haier V280,Haier,V280,2005-01-01,2005.0,,0.0038910505836575876,3.0,LED flash,No,No,V1,,550.0,,80 g (2.82 oz),80.0,2.82
Haier V190,Haier,V190,2004-01-01,2004.0,,0.0019455252918287938,,,No,No,V1,,720.0,,90 g (3.17 oz),90.0,3.17
Haier V100,Haier,V100,2004-01-01,2004.0,,0.0019455252918287938,,,No,No,V1,,600.0,,90 g (3.17 oz),90.0,3.17
Haier P5,Haier,P5,2003-01-01,2003.0,,,,,No,No,V1,,520.0,,75 g (2.65 oz),75.0,2.65
Haier Z8000,Haier,Z8000,2004-01-01,2004.0,,0.0311284046692607,,,No,No,V1,,600.0,,90 g (3.17 oz),90.0,3.17
Honor 8S 2020,Honor,8S 2020,2020-05-01,2020.0,5.71,64.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Navy Blue, Midnight Black, Green",110.0,3020.0,3.0,146 g (5.15 oz),146.0,5.15
Honor Play4,Honor,Play4,2020-06-01,2020.0,6.81,128.0,64.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Blue, Light Blue",250.0,4300.0,8.0,213 g (7.51 oz),213.0,7.51
Honor Play4 Pro,Honor,Play4 Pro,2020-06-01,2020.0,6.57,128.0,40.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, BDS","Black, Blue, Light Blue",360.0,4200.0,8.0,213 g (7.51 oz),213.0,7.51
Honor X10 5G,Honor,X10 5G,2020-05-01,2020.0,6.63,64.0,40.0,"LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, BDS","Blue, Orange, Black, Silver",,4300.0,6.0,203 g (7.16 oz),203.0,7.16
