,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
0,Apple iPad mini (2024),True,True,True,True,"2024, October 15","Available. Released 2024, October 23",195.4 x 134.8 x 6.3 mm (7.69 x 5.31 x 0.25 in),293 g (Wi-Fi) / 297 g (Wi-Fi + Cellular) (10.34 oz),"Glass front, aluminum back, aluminum frame",eSIM (cellular model only),"Stylus support (Apple Pencil, Apple Pencil Pro)","Liquid Retina IPS LCD, 500 nits (typ)","8.3 inches, 203.9 cm2 (~77.4% screen-to-body ratio)","1488 x 2266 pixels, 3:2 ratio (~327 ppi density)","Scratch-resistant glass, oleophobic coating",,"iPadOS 18, upgradable to iPadOS 18.2",Apple A17 Pro (3 nm),Hexa-core (2x3.78 GHz + 4xX.X GHz),Apple GPU (5-core graphics),No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","12 MP, f/1.8, (wide), AF","Quad-LED dual-tone flash, HDR, panorama","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS","12 MP, f/2.4, 122˚ (ultrawide)",HDR,"1080p@25/30/60fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, hotspot","5.3, A2DP","GPS, GLONASS - cellular model only",No,No,"USB Type-C 3.1 Gen2, DisplayPort","Fingerprint (side-mounted), accelerometer, gyro, compass, barometer",Li-Ion 5078 mAh (19.3 Wh),,,"Space Gray, Blue, Purple, Starlight","A2995, A2996, iPad16,2",,,About 600 EUR,,,"327,112 hits",
1,Apple iPhone 16 Pro Max,True,True,True,True,"2024, September 09","Available. Released 2024, September 20",163 x 77.6 x 8.3 mm (6.42 x 3.06 x 0.33 in),227 g (8.01 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), titanium frame (grade 5)","Nano-SIM + eSIM + eSIM (max 2 at a time; International)eSIM + eSIM (8 or more, max 2 at a time; USA)Nano-SIM + Nano-SIM (China)","IP68 dust/water resistant (up to 6m for 30 min)__Apple Pay (Visa, MasterCard, AMEX certified)","LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)","6.9 inches, 115.6 cm2 (~91.4% screen-to-body ratio)","1320 x 2868 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass (2024 gen),Always-On display,"iOS 18, upgradable to iOS 18.2",Apple A18 Pro (3 nm),Hexa-core (2x4.05 GHz + 4x2.42 GHz),Apple GPU (6-core graphics),No,"256GB 8GB RAM, 512GB 8GB RAM, 1TB 8GB RAM","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS__12 MP, f/2.8, 120mm (periscope telephoto), 1/3.06"", 1.12µm, dual pixel PDAF, 3D sensor-shift OIS, 5x optical zoom__48 MP, f/2.2, 13mm (ultrawide), 0.7µm, PDAF__TOF 3D LiDAR scanner (depth)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60/100/120fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, 3D (spatial) video/audio, stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF, OIS__SL 3D, (depth/biometrics sensor)","HDR, Dolby Vision HDR, 3D (spatial) audio, stereo sound rec.","4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, hotspot","5.3, A2DP, LE","GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC",Yes,No,"USB Type-C 3.2 Gen 2, DisplayPort","Face ID, accelerometer, gyro, proximity, compass, barometer",Li-Ion 4685 mAh,"Wired, PD2.0, 50% in 30 min (advertised)__25W wireless (MagSafe), 15W wireless (China only)__15W wireless (Qi2)__4.5W reverse wired",,"Black Titanium, White Titanium, Natural Titanium, Desert Titanium","A3296, A3084, A3295, A3297, iPhone17,2",1.01 W/kg (head) 1.15 W/kg (body) ,1.22 W/kg (head) 1.45 W/kg (body) ,"€ 1,362.99 / $ 1,168.92 / £ 1,149.00",__AnTuTu: 1838828 (v10)__GeekBench: 8606 (v6)__3DMark: 4731 (Wild Life Extreme),,"6,196,319 hits",4.6
2,Apple iPhone 16 Pro,True,True,True,True,"2024, September 09","Available. Released 2024, September 20",149.6 x 71.5 x 8.3 mm (5.89 x 2.81 x 0.33 in),199 g (7.02 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), titanium frame (grade 5)","Nano-SIM + eSIM + eSIM (max 2 at a time; International)eSIM + eSIM (8 or more, max 2 at a time; USA)Nano-SIM + Nano-SIM (China)","IP68 dust/water resistant (up to 6m for 30 min)__Apple Pay (Visa, MasterCard, AMEX certified)","LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)","6.3 inches, 96.4 cm2 (~90.1% screen-to-body ratio)","1206 x 2622 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass (2024 gen),Always-On display,"iOS 18, upgradable to iOS 18.2",Apple A18 Pro (3 nm),Hexa-core (2x4.05 GHz + 4x2.42 GHz),Apple GPU (6-core graphics),No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM, 1TB 8GB RAM","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS__12 MP, f/2.8, 120mm (periscope telephoto), 1/3.06"", 1.12µm, dual pixel PDAF, 3D sensor-shift OIS, 5x optical zoom__48 MP, f/2.2, 13mm (ultrawide), 0.7µm, PDAF__TOF 3D LiDAR scanner (depth)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60/100/120fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, 3D (spatial) video/audio, stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF, OIS__SL 3D, (depth/biometrics sensor)","HDR, Dolby Vision HDR, 3D (spatial) audio, stereo sound rec.","4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, hotspot","5.3, A2DP, LE","GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC",Yes,No,"USB Type-C 3.2 Gen 2, DisplayPort","Face ID, accelerometer, gyro, proximity, compass, barometer",Li-Ion 3582 mAh,"Wired, PD2.0, 50% in 30 min (advertised)__25W wireless (MagSafe), 15W wireless (China only)__15W wireless (Qi2)__4.5W reverse wired",,"Black Titanium, White Titanium, Natural Titanium, Desert Titanium","A3293, A3083, A3292, A3294, iPhone17,1",1.09 W/kg (head) 1.19 W/kg (body) ,1.24 W/kg (head) 1.48 W/kg (body) ,"€ 1,209.08 / $ 890.45 / £ 924.99",__AnTuTu: 1871052 (v10)__GeekBench: 8283 (v6)__3DMark: 4898 (Wild Life Extreme),,"1,763,982 hits",4.6
3,Apple iPhone 16 Plus,True,True,True,True,"2024, September 09","Available. Released 2024, September 20",160.9 x 77.8 x 7.8 mm (6.33 x 3.06 x 0.31 in),199 g (7.02 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame","Nano-SIM + eSIM + eSIM (max 2 at a time; International)eSIM + eSIM (8 or more, max 2 at a time; USA)Nano-SIM + Nano-SIM (China)","IP68 dust/water resistant (up to 6m for 30 min)__Apple Pay (Visa, MasterCard, AMEX certified)","Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)","6.7 inches, 110.2 cm2 (~88.0% screen-to-body ratio)","1290 x 2796 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass (2024 gen),,"iOS 18, upgradable to iOS 18.2",Apple A18 (3 nm),Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (5-core graphics),No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","48 MP, f/1.6, 26mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, sensor-shift OIS__12 MP, f/2.2, 13mm, 120˚ (ultrawide), 0.7µm, dual pixel PDAF","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF__SL 3D, (depth/biometrics sensor)","HDR, Dolby Vision HDR, 3D (spatial) audio, stereo sound rec.","4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, tri-band, hotspot","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"USB Type-C 2.0, DisplayPort","Face ID, accelerometer, gyro, proximity, compass, barometer",Li-Ion 4674 mAh,"Wired, PD2.0, 50% in 30 min (advertised)__25W wireless (MagSafe), 15W wireless (China only)__15W wireless (Qi2)__4.5W reverse wired",,"Black, White, Pink, Teal, Ultramarine","A3290, A3082, A3289, A3291, iPhone17,4",1.13 W/kg (head) 1.16 W/kg (body) ,1.24 W/kg (head) 1.33 W/kg (body) ,"€ 999.99 / $ 827.00 / £ 849.00 / ₹ 76,410",__AnTuTu: 1727276 (v10)__GeekBench: 7927 (v6)__3DMark: 4324 (Wild Life Extreme),,"812,680 hits",4.1
4,Apple iPhone 16,True,True,True,True,"2024, September 09","Available. Released 2024, September 20",147.6 x 71.6 x 7.8 mm (5.81 x 2.82 x 0.31 in),170 g (6.00 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame","Nano-SIM + eSIM + eSIM (max 2 at a time; International)eSIM + eSIM (8 or more, max 2 at a time; USA)Nano-SIM + Nano-SIM (China)","IP68 dust/water resistant (up to 6m for 30 min)__Apple Pay (Visa, MasterCard, AMEX certified)","Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)","6.1 inches, 91.7 cm2 (~86.8% screen-to-body ratio)","1179 x 2556 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass (2024 gen),,"iOS 18, upgradable to iOS 18.2",Apple A18 (3 nm),Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (5-core graphics),No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","48 MP, f/1.6, 26mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, sensor-shift OIS__12 MP, f/2.2, 13mm, 120˚ (ultrawide), 0.7µm, dual pixel PDAF","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF__SL 3D, (depth/biometrics sensor)","HDR, Dolby Vision HDR, 3D (spatial) audio, stereo sound rec.","4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, tri-band, hotspot","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"USB Type-C 2.0, DisplayPort","Face ID, accelerometer, gyro, proximity, compass, barometer",Li-Ion 3561 mAh,"Wired, PD2.0, 50% in 30 min (advertised)__25W wireless (MagSafe), 15W wireless (China only)__15W wireless (Qi2)__4.5W reverse wired",,"Black, White, Pink, Teal, Ultramarine","A3287, A3081, A3286, A3288, iPhone17,3",1.08 W/kg (head) 1.17 W/kg (body) ,1.24 W/kg (head) 1.41 W/kg (body) ,€ 879.00 / $ 718.00 / £ 749.00,__AnTuTu: 1721149 (v10)__GeekBench: 7929 (v6)__3DMark: 4295 (Wild Life Extreme),,"1,936,477 hits",4.0
5,Apple Watch Series 10,True,True,True,False,"2024, September 09","Available. Released 2024, September 20",46 x 39 x 9.7 mm (1.81 x 1.54 x 0.38 in),"34.4 g (42mm), 41.7 g (46mm) (1.48 oz)","Glass front, ceramic/sapphire crystal back, titanium frame (grade 5)",eSIM,IP6X certified__50m water resistant__ECG certified (region dependent SW application; HW available on all models)__Depth gauge to 6m,"Retina LTPO3 OLED, 2000 nits (peak)",1.96 inches,496 x 416 pixels (~330 ppi density),Sapphire crystal glass,Always-on display__Wide-angle OLED,"watchOS 11, upgradable to watchOS 11.2",Apple S10,Dual-core,PowerVR,No,64GB,No,,,,,,Yes,No,"Wi-Fi 802.11 b/g/n, dual-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO, QZSS, BDS",Yes,No,No,"Accelerometer, gyro, heart rate, barometer, always-on altimeter, compass, SpO2, VO2max, temperature (body), temperature (water)",Li-Ion 327 mAh,"Wireless, 0-80% in 30 min (advertised)",,"Slate, Gold, Natural","A3001, A3002, A3003, A3206",1.08 W/kg (head) ,0.26 W/kg (head) 0.83 W/kg (body) ,€ 770.00 / $ 749.00,,,"158,103 hits",
6,Apple Watch Series 10 Aluminum,True,True,True,False,"2024, September 09","Available. Released 2024, September 20",46 x 39 x 9.7 mm (1.81 x 1.54 x 0.38 in),"29.3 g (42mm), 35.3 g (46mm) (1.02 oz)","Glass front, ceramic/sapphire crystal back, aluminum frame",eSIM,IP6X certified__50m water resistant__ECG certified (region dependent SW application; HW available on all models)__Depth gauge to 6m,"Retina LTPO3 OLED, 2000 nits (peak)",1.96 inches,496 x 416 pixels (~330 ppi density),Ion-X strengthened glass,Always-on display__Wide-angle OLED,"watchOS 11, upgradable to watchOS 11.2",Apple S10,Dual-core,PowerVR,No,64GB,No,,,,,,Yes,No,"Wi-Fi 802.11 b/g/n, dual-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO, QZSS, BDS",Yes,No,No,"Accelerometer, gyro, heart rate, barometer, always-on altimeter, compass, SpO2, VO2max, temperature (body), temperature (water)",Li-Ion 327 mAh,"Wireless, 0-80% in 30 min (advertised)",,"Jet Black, Rose Gold, Silver","A3001, A3002, A3003, A3206, A2997, A2998, A2999, A3000",1.08 W/kg (head) ,0.26 W/kg (head) 0.83 W/kg (body) ,€ 442.64 / $ 399.00,,,"75,948 hits",
7,Apple iPad Pro 13 (2024),True,True,True,True,"2024, May 07","Available. Released 2024, May 15",281.6 x 215.5 x 5.1 mm (11.09 x 8.48 x 0.20 in),"579 g (Wi-Fi), 582 g (5G) (1.28 lb)","Glass front, aluminum back, aluminum frame",eSIM,"Stylus support, bluetooth integration, magnetic (Apple Pencil Pro, Apple Pencil 2)","Ultra Retina Tandem OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (HBM), 1600 nits (peak)","13.0 inches, 527.3 cm2 (~86.9% screen-to-body ratio)","2064 x 2752 pixels, 4:3 ratio (~264 ppi density)","Scratch-resistant glass, oleophobic coating",Antireflective coating__Nano-texture display glass option on 1TB and 2TB models,"iPadOS 17.5.1, upgradable to iPadOS 18.2",Apple M4,"9-core 4.4 GHz (3 performance cores, 6 efficiency cores) - 256/512GB models10-core 4.4 GHz (4 performance cores, 6 efficiency cores) - 1/2TB models",Apple GPU (10-core graphics),No,"256GB 8GB RAM, 512GB 8GB RAM, 1TB 16GB RAM, 2TB 16GB RAM","12 MP, f/1.8, (wide), dual pixel PDAF__TOF 3D LiDAR scanner (depth)","Quad-LED dual-tone flash, HDR","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS, ProRes (4K, 1080p)","12 MP, f/2.4, 122˚ (ultrawide)","Face detection, HDR, panorama","1080p@25/30/60fps, gyro-EIS, HDR","Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, hotspot","5.3, A2DP, LE, EDR","GPS, GLONASS, GALILEO, QZSS (Wi-Fi + Cellular model only)",No,No,"USB Type-C 4 (Thunderbolt 3), DisplayPort, magnetic connector","Face ID, accelerometer, gyro, compass, barometer",Li-Po 10290 mAh,,,"Silver, Space Black","A2925, A2926, A3007, iPad16,5, iPad16,6",,,About 1550 EUR,,,"673,197 hits",
8,Apple iPad Pro 11 (2024),True,True,True,True,"2024, May 07","Available. Released 2024, May 15",249.7 x 177.5 x 5.3 mm (9.83 x 6.99 x 0.21 in),"444 g (Wi-Fi), 446 g (5G) (1.03 lb)","Glass front, aluminum back, aluminum frame",eSIM,"Stylus support, bluetooth integration, magnetic (Apple Pencil Pro, Apple Pencil 2)","Ultra Retina Tandem OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (HBM), 1600 nits (peak)","11.0 inches, 373.1 cm2 (~84.2% screen-to-body ratio)","1668 x 2420 pixels, 3:2 ratio (~264 ppi density)","Scratch-resistant glass, oleophobic coating",Antireflective coating__Nano-texture display glass option on 1TB and 2TB models,"iPadOS 17.5.1, upgradable to iPadOS 18.2",Apple M4,"9-core 4.4 GHz (3 performance cores, 6 efficiency cores) - 256/512GB models10-core 4.4 GHz (4 performance cores, 6 efficiency cores) - 1/2TB models",Apple GPU (10-core graphics),No,"256GB 8GB RAM, 512GB 8GB RAM, 1TB 16GB RAM, 2TB 16GB RAM","12 MP, f/1.8, (wide), dual pixel PDAF__TOF 3D LiDAR scanner (depth)","Quad-LED dual-tone flash, HDR","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS, ProRes (4K, 1080p)","12 MP, f/2.4, 122˚ (ultrawide)","Face detection, HDR, panorama","1080p@25/30/60fps, gyro-EIS, HDR","Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, hotspot","5.3, A2DP, LE, EDR","GPS, GLONASS, GALILEO, QZSS (Wi-Fi + Cellular model only)",No,No,"USB Type-C 4 (Thunderbolt 3), DisplayPort, magnetic connector","Face ID, accelerometer, gyro, compass, barometer",Li-Po 8160 mAh,,,"Silver, Space Black","A2836, A2837, A3006, iPad16,3, iPad16,4",,,About 1200 EUR,__AnTuTu: 2566792 (v10)__GeekBench: 13160 (v6),,"531,550 hits",4.3
9,Apple iPad Air 13 (2024),True,True,True,True,"2024, May 07","Available. Released 2024, May 15",280.6 x 214.9 x 6.1 mm (11.05 x 8.46 x 0.24 in),617 g (Wi-Fi) / 618 g (5G) (1.36 lb),"Glass front, aluminum back, aluminum frame",eSIM,"Stylus support (Apple Pencil Pro, Apple Pencil 2)","Liquid Retina IPS LCD, 600 nits (typ)","13.0 inches, 519.3 cm2 (~86.1% screen-to-body ratio)","2048 x 2732 pixels, 4:3 ratio (~264 ppi density)","Scratch-resistant glass, oleophobic coating",,"iPadOS 17.5.1, upgradable to iPadOS 18.2",Apple M2,Octa-core (4 performance cores and 4 efficiency cores),Apple GPU (9-core graphics),No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM, 1TB 8GB RAM","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF",HDR,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS","12 MP, f/2.0, 122˚ (ultrawide)",HDR,1080p@25/30/60fps; gyro-EIS,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, hotspot","5.3, A2DP, LE","GPS, GLONASS (5G model only)",No,No,"USB Type-C 3.1 Gen2, DisplayPort, magnetic connector","Fingerprint (top-mounted), accelerometer, gyro, compass, barometer",Li-Po 9705 mAh (36.59 Wh),,,"Space Gray, Starlight, Purple, Blue","A2898, A2899, A2900, iPad14,10, iPad14,11",,,About 950 EUR,,,"294,239 hits",
