id,brand,model,date,year,display_size_inches,display_size_inches_scale,internal_memory_in_gb,internal_memory_in_gb_scale,primary_camera_mega_pixel,primary_camera_mega_pixel_scale,primary_camera,loud_speaker,gps,colors,approx_price_eur,approx_price_eur_scale,battery_mah,battery_mah_scale,ram_in_gb,ram_in_gb_scale,weight_g,weight_g_scale,cluster,cluster_scale
Nokia 9110i Communicator,Nokia,9110i Communicator,1999-01-01,1999.0,4.5,0.0,0.0077821011673151,0.0,,,,No,No,Black,,,1100.0,0.0,,,253.0,0.0,1,0.0
Nokia 9210 Communicator,Nokia,9210 Communicator,2000-01-01,2000.0,4.5,1.0,,,,,,No,No,Black,,,1300.0,1.0,,,244.0,1.0,1,0.0
Siemens SL45,Siemens,SL45,2000-01-01,2000.0,1.5,-1.0,,,,,,No,No,V1,,,540.0,-1.0,,,88.0,-1.0,1,0.0
Siemens SL42,Siemens,SL42,2001-01-01,2001.0,1.5,0.0,,,,,,No,No,V1,,,540.0,0.0,,,88.0,0.0,1,0.0
Siemens SL45i,Siemens,SL45i,2001-01-01,2001.0,1.5,0.0,,,,,,No,No,V1,,,540.0,0.0,,,88.0,0.0,1,0.0
Nokia 3530,Nokia,3530,2002-01-01,2002.0,1.5,-0.6350006350009524,,,,,,No,No,Xpress-on covers,,,1000.0,1.4076374884781493,,,106.0,-0.12361553292544027,1,0.0
Nokia 6100,Nokia,6100,2002-01-01,2002.0,1.5,-0.6350006350009524,0.0006860436948326,-0.9427857711825542,,,,Yes,No,3 -  Dark blue| Light blue and Yellowish beige,,,760.0,-0.7719302356170497,,,76.0,-1.0136473699886093,1,0.0
Nokia 6610,Nokia,6610,2002-09-01,2002.0,1.5,-0.6350006350009524,,,,,,Yes,No,3 - Black| White| Grey,,,780.0,-0.5902995919424497,,,84.0,-0.7763055467717641,1,0.0
Nokia 7210,Nokia,7210,2002-01-01,2002.0,1.5,-0.6350006350009524,,,,,,No,No,3 - Turquoise| Orange| and Brown,,,780.0,-0.5902995919424497,,,83.0,-0.8059732746738698,1,0.0
Nokia 7650,Nokia,7650,2002-01-01,2002.0,2.1,0.5080005080007622,0.0038910505836575,-0.44149606835755206,,,VGA,No,No,V1,,,750.0,-0.8627455574543496,,,154.0,1.30043540637563,1,0.0
Sony Ericsson P800,Sony Ericsson,P800,2002-01-01,2002.0,2.9,2.032002032003048,0.0155642023346303,1.3842818395401062,,,VGA,No,No,V1,,,1000.0,1.4076374884781493,,,158.0,1.4191063179840526,1,0.0
Mitac MIO 8380,Mitac,MIO 8380,2003-01-01,2003.0,2.2,0.35562059843942123,0.0311284046692607,1.044166887045638,,,CIF,No,No,Silver,,,1050.0,0.8539420471211694,0.0155642023346303,-0.7505553499465135,143.0,0.8458235915770523,1,0.0
Mitac MIO 8390,Mitac,MIO 8390,2003-09-01,2003.0,2.2,0.35562059843942123,0.0311284046692607,1.044166887045638,,,VGA,No,No,Dazzling silver| opulent red,,,1050.0,0.8539420471211694,0.0155642023346303,-0.7505553499465135,125.0,0.21213291784483163,1,0.0
Motorola MPx200,Motorola,MPx200,2003-09-01,2003.0,2.2,0.35562059843942123,0.0077821011673151,-0.539752577323614,,,,Yes,No,Liquorice Black,,,860.0,-0.2800562627655447,,,118.0,-0.03430234416214313,1,0.0
NEC c616v,NEC,c616v,2003-12-01,2003.0,2.2,0.35562059843942123,0.0184824902723735,0.1862105105122931,,,VGA,No,Yes with A-GPS,Silver or Graphite,,,780.0,-0.7575292353494243,,,130.0,0.3881581049926707,1,0.0
NEC e616,NEC,e616,2003-12-01,2003.0,2.2,0.35562059843942123,0.0184824902723735,0.1862105105122931,,,CIF| LED flash,No,Yes,Silver,,,780.0,-0.7575292353494243,,,130.0,0.3881581049926707,1,0.0
Neonode N1,Neonode,N1,2003-01-01,2003.0,2.2,0.35562059843942123,,,,,VGA,Yes,No,,,,1100.0,1.1523626549860941,0.0155642023346303,-0.7505553499465135,86.0,-1.1608635419083133,1,0.0
