id,brand,model,date,year,display_size_inches,display_size_inches_scale,internal_memory_in_gb,internal_memory_in_gb_scale,primary_camera_mega_pixel,primary_camera_mega_pixel_scale,primary_camera,loud_speaker,gps,colors,approx_price_eur,approx_price_eur_scale,announced,battery_mah,battery_mah_scale,ram_in_gb,ram_in_gb_scale
Acer Iconia Talk S,Acer,Iconia Talk S,2016-10-01,2016.0,7.0,1.5639204323678593,32.0,0.16463332581567908,13.0,0.5592173485022539,13 MP| autofocus,Yes,Yes with A-GPS GLONASS,Black,170.0,-0.5367258791790109,2016  August,3400.0,0.48381720024679586,2.0,-0.12251921162841899
Acer Liquid Z6 Plus,Acer,Liquid Z6 Plus,2016-12-01,2016.0,5.5,0.20060915423739348,32.0,0.16463332581567908,13.0,0.5592173485022539,13 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,250.0,-0.08423126158576894,2016  August,4080.0,1.1315649865430706,3.0,0.09296926490012156
Acer Liquid Z6,Acer,Liquid Z6,2016-12-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,8.0,-0.5836510874783918,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,120.0,-0.8195350151747872,2016  August,2000.0,-0.8497811833043578,1.0,-0.33800768815695953
Acer Liquid X2,Acer,Liquid X2,2016-02-01,2016.0,5.5,0.20060915423739348,32.0,0.16463332581567908,13.0,0.5592173485022539,13 MP| f/1.8| autofocus| LED flash| ,Yes,Yes with A-GPS,Black| Gold,230.0,-0.19735491598407945,2015  April,4020.0,1.074410770105164,3.0,0.09296926490012156
Acer Liquid Jade 2,Acer,Liquid Jade 2,2016-02-01,2016.0,5.5,0.20060915423739348,32.0,0.16463332581567908,21.0,2.387806846071287,21 MP| autofocus| dual-LED flash,Yes,Yes with A-GPS,Black,,,2016  February,,,3.0,0.09296926490012156
Acer Liquid Zest Plus,Acer,Liquid Zest Plus,2016-07-01,2016.0,5.5,0.20060915423739348,16.0,-0.32885240004927585,13.0,0.5592173485022539,13 MP| phase detection/laser autofocus| LED flash,Yes,Yes with A-GPS,Blue| White,200.0,-0.3670403975815452,2016  April,5000.0,2.0079296385909715,2.0,-0.12251921162841899
Acer Liquid Zest,Acer,Liquid Zest,2016-04-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,8.0,-0.5836510874783918,8 MP| f/2.0| autofocus| LED flash,Yes,Yes with A-GPS,Black| White,110.0,-0.8760968423739425,2016  February,2000.0,-0.8497811833043578,1.0,-0.33800768815695953
Acer Liquid Jade Primo,Acer,Liquid Jade Primo,2016-04-01,2016.0,5.5,0.20060915423739348,32.0,0.16463332581567908,21.0,2.387806846071287,21 MP| f/2.2| autofocus| dual-LED flash| ,Yes,Yes with A-GPS,Black,220.0,-0.2539167431832347,2015  September,2870.0,-0.021045044954712294,3.0,0.09296926490012156
Acer Liquid Z330,Acer,Liquid Z330,2015-10-01,2015.0,4.5,-0.4279395221412164,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Mystic Black| Pure White,110.0,-0.28531820122718005,2015  September,2000.0,-0.5203832802293027,1.0,-0.5262752219775801
Acer Liquid Z320,Acer,Liquid Z320,2015-11-01,2015.0,4.5,-0.4279395221412164,8.0,-0.38904700533904973,5.0,-0.9202902712774985,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Pure White,90.0,-0.3328465831146868,2015  September,2000.0,-0.5203832802293027,1.0,-0.5262752219775801
